Fartøy ID,Siste fangstdato,Lokasjon (kode),Lon (lokasjon),Lat (lokasjon),Art,Art - gruppe,Rundvekt,date
1988005440.0,12.07.2011,27.0,11.5,66.25,Lyr,Annen torskefisk,2.6,2011-12-07
2009046368.0,06.04.2018,53.0,14.43561,67.19701,Lyr,Annen torskefisk,26.0,2018-06-04
,21.08.2000,0.0,,,Hvitting,Annen torskefisk,4.8,2000-08-21
1988011398.0,28.05.2013,14.0,24.42041,70.65311,Torsk,Torsk,103.8,2013-05-28
1987010654.0,04.05.2006,30.0,17.491,69.74206,Brosme,Annen torskefisk,23.8,2006-04-05
2002017462.0,11.07.2020,2.0,5.43607,58.72558,Taskekrabbe,Taskekrabbe,240.1,2020-11-07
1996003824.0,26.02.2015,16.0,9.5,58.75,Sjøkreps,"Andre skalldyr, bløtdyr og pigghuder",0.0,2015-02-26
1995000447.0,23.02.2004,31.0,18.45225,69.80871,Hyse,Hyse,28.0,2004-02-23
1998012724.0,06.09.2011,12.0,8.49357,58.26584,Torsk,Torsk,4.7,2011-06-09
1988001077.0,11.02.2002,25.0,16.61634,69.26902,Torsk,Torsk,625.5,2002-11-02
2001015161.0,22.11.2006,16.0,9.5,58.75,Smørflyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",0.6,2006-11-22
1995003033.0,13.01.2003,1.0,4.50056,60.24815,Sjøkreps,"Andre skalldyr, bløtdyr og pigghuder",44.0,2003-01-13
1996003158.0,06.07.2008,14.0,3.5,59.75,Sei,Sei,10000.0,2008-06-07
,27.06.2021,8.0,18.0,74.5,Torsk,Torsk,10665.0,2021-06-27
2010051030.0,13.04.2017,10.0,13.41423,67.82298,Lange,Annen torskefisk,14.0,2017-04-13
2008045588.0,14.09.2020,24.0,25.53489,70.46517,"Kongekrabbe, han-","Kongekrabbe, han",26.0,2020-09-14
1999012487.0,28.11.2006,20.0,10.5,59.25,Pigghå,Haifisk,7.5,2006-11-28
2003025325.0,15.05.2007,3.0,4.5,59.25,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",5.6,2007-05-15
1997000263.0,26.03.2015,24.0,23.5,71.25,Torsk,Torsk,2671.0,2015-03-26
1980008546.0,28.04.2005,19.0,6.23771,59.3805,Slettvar,"Annen flatfisk, bunnfisk og dypvannsfisk",1.9,2005-04-28
2009049368.0,11.09.2011,4.0,4.5,61.75,Lange,Annen torskefisk,137.2,2011-11-09
,22.08.2000,30.0,17.491,69.74206,Torsk,Torsk,7.5,2000-08-22
1997009199.0,15.05.2006,4.0,,,Uer (vanlig),Uer,25.0,2006-05-15
2001014822.0,27.10.2015,12.0,8.49357,58.26584,Lyr,Annen torskefisk,0.0,2015-10-27
,19.01.2009,30.0,17.491,69.74206,Torsk,Torsk,,2009-01-19
1989010077.0,13.09.2018,30.0,17.491,69.74206,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",67.5,2018-09-13
1998008612.0,24.05.2017,12.0,8.49357,58.26584,Lange,Annen torskefisk,7.2,2017-05-24
1999012721.0,08.03.2013,33.0,5.59752,62.21811,Sei,Sei,415.0,2013-08-03
1982009638.0,28.04.2001,3.0,4.47778,61.2617,Sei,Sei,40.5,2001-04-28
1966007639.0,29.03.2011,23.0,14.5,69.25,Torsk,Torsk,,2011-03-29
2001014306.0,11.02.2004,0.0,,,Torsk,Torsk,,2004-11-02
1990000355.0,09.03.2020,24.0,23.5,71.25,Torsk,Torsk,0.0,2020-09-03
1994011734.0,02.09.2011,30.0,17.491,69.74206,Hyse,Hyse,2.8,2011-02-09
1981011828.0,10.01.2004,30.0,17.491,69.74206,Torsk,Torsk,304.5,2004-10-01
,08.06.2015,2.0,29.74327,69.93406,Torsk,Torsk,108.0,2015-08-06
1993013103.0,27.11.2002,16.0,9.5,58.75,Hyse,Hyse,10.8,2002-11-27
1977011551.0,09.12.2008,39.0,19.33211,69.54236,Torsk,Torsk,12.0,2008-09-12
1992008642.0,02.05.2003,16.0,5.37624,59.23466,Dypvannsreke,Dypvannsreke,256.0,2003-02-05
2001016101.0,27.03.2015,10.0,13.41423,67.82298,Torsk,Torsk,97.5,2015-03-27
1984007946.0,09.12.2019,39.0,19.33211,69.54236,Brosme,Annen torskefisk,2.8,2019-09-12
1996012766.0,12.02.2013,25.0,7.5,57.75,Torsk,Torsk,8.3,2013-12-02
2001015024.0,23.06.2004,25.0,16.61634,69.26902,Gråsteinbit,Steinbiter,8.3,2004-06-23
1996012649.0,26.02.2016,12.0,8.49357,58.26584,Hyse,Hyse,0.0,2016-02-26
1981002179.0,26.04.2003,7.0,30.5,70.66667,Hyse,Hyse,1.1,2003-04-26
1993000816.0,29.10.2012,46.0,14.56579,68.15924,Annen skate og rokke,Skater og annen bruskfisk,70.0,2012-10-29
,18.04.2016,0.0,,,Snøkrabbe,Snøkrabbe,4002.3,2016-04-18
,08.05.2000,1.0,5.5,58.25,Dypvannsreke,Dypvannsreke,72.0,2000-08-05
1998013079.0,22.04.2008,17.0,10.5,58.75,Torsk,Torsk,1.2,2008-04-22
1995001807.0,21.03.2017,5.0,28.06428,70.41512,Torsk,Torsk,1261.0,2017-03-21
1989006475.0,03.04.2015,4.0,12.33333,67.33333,Torsk,Torsk,3124.0,2015-03-04
1995000005.0,05.08.2013,20.0,10.5,59.25,Dypvannsreke,Dypvannsreke,45.0,2013-05-08
1991005667.0,24.03.2010,24.0,15.47374,69.26583,Torsk,Torsk,379.5,2010-03-24
2012060292.0,24.03.2021,27.0,21.79904,69.83414,Dypvannsreke,Dypvannsreke,90.0,2021-03-24
1989008296.0,22.02.2016,30.0,17.491,69.74206,Torsk,Torsk,,2016-02-22
1975005129.0,16.04.2012,20.0,14.56401,68.75918,Torsk,Torsk,2242.5,2012-04-16
